"","hgnc_symbol","logFC","PValue","FDR"
"ENSG00000152192.1","Pou4f1",0.934453988694996,0.00115107541544383,1
"unknown.5450","Tusc5",0.908465693777464,0.000888185951719274,1
"ENSG00000091664","Slc17a6",0.875180261019305,0.000755936497320306,1
"ENSG00000104722","Nefm",0.845653731262821,0.00321707338885285,1
"unknown.2578","Mup10",0.841415313777064,0.00734361001981893,1
"unknown.1618","Gm10439",0.815963321858322,0.0106377368952813,1
"unknown.7754","Gm14590",0.813351634288927,0.00669521621625234,1
"ENSG00000151615","Pou4f2",0.75810500393267,0.0036341824169635,1
"ENSG00000177098","Scn4b",0.732963934530552,0.0154327618135206,1
"unknown.2614","2600014E21Rik",0.69491683721003,0.0334173363419844,1
"ENSG00000091664.1","Slc17a6",0.69146358182569,0.00437117030824941,1
"ENSG00000205279","Ctxn3",0.679754088043507,0.0177662796553481,1
"unknown.7253","1700091H14Rik",0.671704888209162,0.0352420267815149,1
"unknown.5738","2410141K09Rik",0.668218833589802,0.0603707712254747,1
"unknown.6374","C79246",0.666875117709248,0.022298195445945,1
"ENSG00000152128","Tmem163",0.660004738550544,0.0315487584032811,1
"ENSG00000149177","Ptprj",0.653711537983175,0.0334173363419844,1
"unknown.5082","Gm2102",0.640790554200997,0.0352009156752484,1
"unknown.5852","Gm10482",0.637767907336728,0.0422113202992949,1
"unknown.7889","Car3",0.631087863983212,0.0557791812627685,1
"unknown.2380","4933438K21Rik",0.630489710275144,0.0396089720485007,1
"ENSG00000183035","Cylc1",0.62929911182714,0.080507735245114,1
"unknown.2166","Gm10471",0.624204750788087,0.062973123344081,1
"ENSG00000152192","Pou4f1",0.620048871077262,0.00546162394709083,1
"unknown.5681","2310076G05Rik",0.618748671526052,0.0220833398209844,1
"unknown.8809","1110032F04Rik",0.597502202266633,0.0959245560273669,1
"unknown.8851","Gm20213",0.596654033398898,0.0598091584193544,1
"unknown.1706","Gm7040",0.589374863152989,0.0846470192538335,1
"unknown.4888","Csn1s2a",0.587313638523688,0.0959245560273669,1
"unknown.2073","6720468P15Rik",0.57874206841032,0.0642137980358428,1
"unknown.5368","Gm2832",0.577546784593509,0.0693470038610622,1
"unknown.9710","1700097M23Rik",0.574219800724495,0.100644651815766,1
"unknown.3193","1700040G22Rik",0.571365143295864,0.124919266182925,1
"ENSG00000117834.2","Slc5a9",0.563387491277713,0.11961035140497,1
"ENSG00000169083.1","Ar",0.56207795012645,0.0415017216241375,1
"unknown.6712","5330409N07Rik",0.561577759630032,0.0757612914113183,1
"unknown.3363","4930573O21Rik",0.556663635333659,0.0757612914113183,1
"unknown.1211","Gm10921",0.555021048196249,0.11961035140497,1
"ENSG00000145692","Bhmt",0.547168584790611,0.100644651815766,1
"ENSG00000277586","Nefl",0.532789212117115,0.0122212632999121,1
"ENSG00000143107.2","Fndc7",0.522432338720185,0.10113746623915,1
"ENSG00000184408","Kcnd2",0.51638160798497,0.105226525139329,1
"unknown.2323","1700049E17Rik1",0.516312538693072,0.153913917125421,1
"unknown.5475","E330037M01Rik",0.514088237161337,0.103770697970069,1
"ENSG00000173267","Sncg",0.511490108170753,0.0408696789194546,1
"unknown.992","Gm10058",0.511370190829549,0.10929665352925,1
"unknown.4504","BC048546",0.510192496630146,0.13538627099934,1
"unknown.1973","4930555G01Rik",0.510152020980797,0.119274842335556,1
"unknown.3924","C030046M01Rik",0.509272317843206,0.130178796118351,1
"unknown.2176","2610317O13Rik",0.508941381616207,0.145636719531375,1
